This is grade of class5
         StdID  Mark
342  N00000983    68
343  N00000984    86
344  N00000985    77
345  N00000986    71
346  N00000987    77
347  N00000988    77
348  N00000989    63
349  N00000990    82
350  N00000991    85
351  N00000992    82
352  N00000993    83
353  N00000994    86
354  N00000995    83
355  N00000996    64
356  N00000997    95
357  N00000998    91
358  N00000999    91
359  N00001000    60
360  N00001001    73
361  N00001002    53
362  N00001003    86
363  N00001004    71
364  N00001005    72
365  N00001006    72
366  N00001007    70
367  N00001008    72
368  N00001009    63
369  N00001010    77
370  N00001011    77
371  N00001012    66
372  N00001013    81
373  N00001014    82
374  N00001015    85
375  N00001016    75
376  N00001017    59
377  N00001018    81
378  N00001019    88
379  N00001020    80
380  N00001021    53
381  N00001022    85
382  N00001023    91
383  N00001024    72
384  N00001025    77
385  N00001026    77
386  N00001027    60
387  N00001028    64
388  N00001029    79
389  N00001030    51
390  N00001031    52
391  N00001032    82
392  N00001033    66
393  N00001034    71
394  N00001035    77
395  N00001036    61
396  N00001037    78
397  N00001038    77
398  N00001039    91
399  N00001040    58
400  N00001041    77
401  N00001042    92
402  N00001043    82
403  N00001044    67
404  N00001045    82
405  N00001046    66
406  N00001047    71
407  N00001048    78
408  N00001049    55
409  N00001050    87
410  N00001051    72
411  N00001052    74
412  N00001053    69
413  N00001054    77
414  N00001055    83
415  N00001056    73
416  N00001057    61
417  N00001058    77
418  N00001059    61
419  N00001060    68
420  N00001061    87
421  N00001062    78
422  N00001063    86
423  N00001064    87
424  N00001065    60
425  N00001066    87
426  N00001067    77
427  N00001068    64
428  N00001069    91
429  N00001070    69
430  N00001071    91
431  N00001072    67
432  N00001073    74
433  N00001074    68
434  N00001075    80
435  N00001076    70
436  N00001077    57
437  N00001078    72
438  N00001079    83
439  N00001080    83
440  N00001081    75
441  N00001082    79
442  N00001083    76
443  N00001084    88
444  N00001085    95
445  N00001086    72
446  N00001087    58
447  N00001088    88
448  N00001089    76
449  N00001090    83
450  N00001091    80
451  N00001092    72
452  N00001093    67
453  N00001094    86
454  N00001095    75
455  N00001096    54
456  N00001097    49
457  N00001098    77
458  N00001099    66
459  N00001100    78
460  N00001101    83
461  N00001102    65
462  N00001103    86
463  N00001104    68
464  N00001105    77
465  N00001106    71
466  N00001107    80
467  N00001108    85
468  N00001109    70
469  N00001110    87
470  N00001111    91
471  N00001112    82
472  N00001113    87
473  N00001114    76
474  N00001115    77
475  N00001116    77
476  N00001117    86
477  N00001118    63
478  N00001119    87
479  N00001120    83
480  N00001121    87
481  N00001122    68
482  N00001123    63
483  N00001124    78
484  N00001125    62
485  N00001126    71
486  N00001127    63
487  N00001128    88
488  N00001129    74
489  N00001130    81
490  N00001131    84
491  N00001132    82
492  N00001133    68
493  N00001134    86
494  N00001135    83
495  N00001136    73
496  N00001137    72
497  N00001138    82
498  N00001139    74
499  N00001140    66
500  N00001141    74
501  N00001142    67
502  N00001143    73
503  N00001144    82
504  N00001145    63
505  N00001146    82
506  N00001147    77
507  N00001148    74
508  N00001149    62
509  N00001150    81
510  N00001151    86
511  N00001152    76
512  N00001153    86
513  N00001154    76
514  N00001155    82
515  N00001156    91
516  N00001157    72
517  N00001158    78
518  N00001159    71
519  N00001160    76
520  N00001161    76
521  N00001162    81
522  N00001163    71
523  N00001164    55
524  N00001165    82
525  N00001166    87
526  N00001167    87
527  N00001168    86
528  N00001169    91
529  N00001170    59
530  N00001171    85
531  N00001172    86
532  N00001173    72
533  N00001174    72
534  N00001175    71
535  N00001176    69
536  N00001177    87
537  N00001178    81
538  N00001179    82
539  N00001180    74
540  N00001181    83
541  N00001182    79
542  N00001183    78
543  N00001184    59
544  N00001185    82
545  N00001186    90
546  N00001187    67
547  N00001188    74
548  N00001189    77
549  N00001190    81
550  N00001191    74
551  N00001192    91
552  N00001193    72
553  N00001194    73
554  N00001195    73
555  N00001196    68
556  N00001197    72
557  N00001198    73
558  N00001199    91
559  N00001200    77
560  N00001201    76
561  N00001202    77
562  N00001203    65
563  N00001204    46
564  N00001205    79
565  N00001206    65
566  N00001207    63
567  N00001208    66
568  N00001209    83
569  N00001210    78
570  N00001211    79
571  N00001212    82
572  N00001213    76
573  N00001214    73
574  N00001215    61
575  N00001216    80
576  N00001217    76
577  N00001218    86
578  N00001219    91
579  N00001220    71
580  N00001221    69
581  N00001222    68
582  N00001223    82
583  N00001224    78
584  N00001225    87
585  N00001226    76
586  N00001227    78
587  N00001228    64
588  N00001229    71
589  N00001230    75
590  N00001231    86
591  N00001232    71
592  N00001233    86
593  N00001234    77
594  N00001235    78
595  N00001236    86
596  N00001237    77
597  N00001238    83
598  N00001239    63
599  N00001240    64
600  N00001241    82
601  N00001242    67
602  N00001243    68
603  N00001244    87
604  N00001245    74
605  N00001246    72
606  N00001247    62
607  N00001248    67
608  N00001249    46
609  N00001250    73
610  N00001251    83
611  N00001252    71
612  N00001253    78
613  N00001254    64
614  N00001255    61
615  N00001256    96
616  N00001257    73
617  N00001258    74
618  N00001259    68
619  N00001260    62
620  N00001261    55
621  N00001262    73
622  N00001263    82
623  N00001264    65
624  N00001265    52
625  N00001266    64
626  N00001267    72
627  N00001268    82
628  N00001269    60
629  N00001270    81
630  N00001271    86
631  N00001272    51
632  N00001273    76
633  N00001274    86
634  N00001275    85
635  N00001276    73
636  N00001277    71
637  N00001278    81
638  N00001279    72
639  N00001280    72
640  N00001281    81
641  N00001282    77
642  N00001283    62
643  N00001284    75
644  N00001285    68
645  N00001286    58
646  N00001287    96
647  N00001288    87
648  N00001289    83
649  N00001290    87
650  N00001291    72
651  N00001292    81
652  N00001293    74
653  N00001294    81
654  N00001295    64
655  N00001296    79
656  N00001297    80
657  N00001298    95
658  N00001299    81
659  N00001300    77
660  N00001301    83
661  N00001302    78
662  N00001303    72
663  N00001304    70
664  N00001305   100
665  N00001306    71
666  N00001307    82
667  N00001308    74
668  N00001309    64
669  N00001310    69
670  N00001311    87
671  N00001312    72
672  N00001313    57
673  N00001314    87
674  N00001315    77
675  N00001316    87
676  N00001317    81
677  N00001318    86
678  N00001319    77
679  N00001320    81
680  N00001321    65
681  N00001322    71
682  N00001323    79
683  N00001324    68
684  N00001325    64
685  N00001326    76
686  N00001327    65
687  N00001328    72
688  N00001329    82
689  N00001330    74
690  N00001331    79
691  N00001332    72
692  N00001333    83
693  N00001334    76
694  N00001335    55
695  N00001336    81
696  N00001337    78
697  N00001338    78
698  N00001339    59
699  N00001340    77
700  N00001341    77
701  N00001342    86
702  N00001343    59
703  N00001344    82
704  N00001345    67
705  N00001346    82
706  N00001347    69
707  N00001348    63
708  N00001349    81
709  N00001350    68
710  N00001351    78
711  N00001352    82
712  N00001353    73
713  N00001354    77
714  N00001355    74
715  N00001356    82
716  N00001357    81
717  N00001358    71
718  N00001359    83
719  N00001360    86
720  N00001361    68
721  N00001362    60
722  N00001363    77
723  N00001364    60
724  N00001365    77
725  N00001366    73
726  N00001367    81
727  N00001368    73
728  N00001369    73
729  N00001370    51
730  N00001371    70
731  N00001372    58
732  N00001373    82
733  N00001374    86
734  N00001375    62
735  N00001376    83
736  N00001377    96
737  N00001378    82
738  N00001379    62
739  N00001380    82
740  N00001381    88
741  N00001382    82
742  N00001383    82
743  N00001384    77
744  N00001385    79
745  N00001386    70
746  N00001387    73
747  N00001388    80
748  N00001389    62
749  N00001390    79
750  N00001391    81
751  N00001392    74
752  N00001393    61
753  N00001394    74
754  N00001395    83
755  N00001396    72
756  N00001397    72
757  N00001398    86
758  N00001399    76
759  N00001400    64
760  N00001401    75
761  N00001402    85
762  N00001403    69
763  N00001404    88
764  N00001405    78
765  N00001406    77
766  N00001407    78
767  N00001408    83
768  N00001409    79
769  N00001410    77
770  N00001411    74
771  N00001412    82
772  N00001413    73
773  N00001414    74
774  N00001415    86
775  N00001416    55
776  N00001417    92
777  N00001418    82
778  N00001419    87
779  N00001420    82
780  N00001421    63
781  N00001422    87
782  N00001423    73
783  N00001424    64
784  N00001425    65
785  N00001426    81
786  N00001427    70
787  N00001428    91
788  N00001429    74
789  N00001430    63
790  N00001431    82
791  N00001432    68
792  N00001433    70
793  N00001434    72
794  N00001435    78
795  N00001436    83
796  N00001437    84
797  N00001438    69
798  N00001439    65
799  N00001440    77
800  N00001441    63
801  N00001442    59
802  N00001443    69
803  N00001444    87
804  N00001445    87
805  N00001446    78
806  N00001447    72
807  N00001448    75
808  N00001449    54
809  N00001450    70
810  N00001451    81
811  N00001452    78
812  N00001453    72
813  N00001454    52
814  N00001455    82
815  N00001456    71
816  N00001457    87
817  N00001458    56
818  N00001459    71
819  N00001460    82
820  N00001461    87
821  N00001462    79
822  N00001463    68
823  N00001464    78
824  N00001465    77
825  N00001466    83
826  N00001467    95
827  N00001468    59
828  N00001469    76
829  N00001470    77
830  N00001471    75
831  N00001472    87
832  N00001473    69
833  N00001474    56
834  N00001475    80
835  N00001476    88
836  N00001477    71
837  N00001478    73
838  N00001479    85
839  N00001480    81
840  N00001481    82
841  N00001482    81
842  N00001483    87
843  N00001484    76
844  N00001485    92
845  N00001486    74
846  N00001487    85
847  N00001488    90
848  N00001489    78
849  N00001490    69
850  N00001491    73
851  N00001492    52
852  N00001493    80
853  N00001494    67
854  N00001495    83
855  N00001496    88
856  N00001497    62
857  N00001498    85
858  N00001499    64
859  N00001500    77
860  N00001501    55
861  N00001502    86
862  N00001503    78
863  N00001504    68
864  N00001505    69
865  N00001506    66
866  N00001507    86
867  N00001508    68
868  N00001509    90
869  N00001510    77
870  N00001511    87
871  N00001512    72
872  N00001513    72
873  N00001514    68
874  N00001515    86
875  N00001516    69
876  N00001517    68
877  N00001518    64
878  N00001519    75
879  N00001520    86
880  N00001521    90
881  N00001522    86
882  N00001523    74
883  N00001524    58
884  N00001525    91
885  N00001526    72
886  N00001527    78
887  N00001528    73
888  N00001529    67
889  N00001530    68
890  N00001531    80
891  N00001532    76
892  N00001533    78
893  N00001534    91
894  N00001535    90
895  N00001536    77
896  N00001537    75
897  N00001538    87
898  N00001539    73
899  N00001540    74
900  N00001541    64
901  N00001542    80
902  N00001543    86
903  N00001544    87
904  N00001545    77
905  N00001546    72
906  N00001547    73
907  N00001548    88
908  N00001549    74
909  N00001550    72
910  N00001551    78
911  N00001552    78
912  N00001553    87
913  N00001554    74
914  N00001555    82
915  N00001556    73
916  N00001557    72
917  N00001558    69
918  N00001559    71
919  N00001560    64
920  N00001561    76
921  N00001562    73
922  N00001563    76
923  N00001564    70
924  N00001565    62
925  N00001566    82
926  N00001567    76
927  N00001568    86
928  N00001569    58
929  N00001570    91
930  N00001571    64
931  N00001572    43
932  N00001573    81
933  N00001574    64
934  N00001575    69
935  N00001576    71
936  N00001577    69
937  N00001578    77
938  N00001579    64
939  N00001580    91
940  N00001581    77
941  N00001582    75
942  N00001583    83
943  N00001584    72
944  N00001585    74
945  N00001586    87
946  N00001587    68
947  N00001588    82
948  N00001589    82
949  N00001590    63
950  N00001591    77
951  N00001592    68
952  N00001593    74
953  N00001594    57
954  N00001595    78
955  N00001596    66
956  N00001597    72
957  N00001598    92
958  N00001599    87
959  N00001600    71
960  N00001601    53
961  N00001602    82
962  N00001603    76
963  N00001604    74
964  N00001605    82
965  N00001606    91
966  N00001607    77
967  N00001608    80
968  N00001609    78
969  N00001610    87
970  N00001611    66
971  N00001612    81
972  N00001613    78
973  N00001614    70
974  N00001615    83
975  N00001616    87
976  N00001617    73
977  N00001618    76
978  N00001619    66
979  N00001620    86
980  N00001621    87
981  N00001622    64
982  N00001623    92
983  N00001624    71
984  N00001625    71
985  N00001626    82
986  N00001627    71
987  N00001628    78
988  N00001629    67
989  N00001630    78
990  N00001631    78
991  N00001632    76
992  N00001633    82
993  N00001634    77
994  N00001635    72
995  N00001636    69
996  N00001637    64
997  N00001638    71
998  N00001639    82
999  N00001640    82
