This is grade of class4
         StdID  Mark
213  N00000359    56
214  N00000360    78
215  N00000361    86
216  N00000362    74
217  N00000363    82
218  N00000364    76
219  N00000365    82
220  N00000366    62
221  N00000367    74
222  N00000368    77
223  N00000369    69
224  N00000370    62
225  N00000371    85
226  N00000372    80
227  N00000373    77
228  N00000374    74
229  N00000375    82
230  N00000376    70
231  N00000377    78
232  N00000378    82
233  N00000379    63
234  N00000380    83
235  N00000381    88
236  N00000382    64
237  N00000383    79
238  N00000384    60
239  N00000385    78
240  N00000386    88
241  N00000387    72
242  N00000388    82
243  N00000389    62
244  N00000390    91
245  N00000391    79
246  N00000392    87
247  N00000393    78
248  N00000394    90
249  N00000395    81
250  N00000396    64
251  N00000397    64
252  N00000398    92
253  N00000399    76
254  N00000400    77
255  N00000401    64
256  N00000402    62
257  N00000403    79
258  N00000404    78
259  N00000405    71
260  N00000406    73
261  N00000407    57
262  N00000408    71
263  N00000409    81
264  N00000410    71
265  N00000411    86
266  N00000412    59
267  N00000413    69
268  N00000414    69
269  N00000415    78
270  N00000416    91
271  N00000417    68
272  N00000418    81
273  N00000419    79
274  N00000420    85
275  N00000421    68
276  N00000422    95
277  N00000423    67
278  N00000424    78
279  N00000425    70
280  N00000426    92
281  N00000427    63
282  N00000428    65
283  N00000429    72
284  N00000430    60
285  N00000431    82
286  N00000432    87
287  N00000433    87
288  N00000434    86
289  N00000435    81
290  N00000436    79
291  N00000437    72
292  N00000438    91
293  N00000439    75
294  N00000440    71
295  N00000441    79
296  N00000442    71
297  N00000443    77
298  N00000444    78
299  N00000445    73
300  N00000446    82
301  N00000447    87
302  N00000448    77
303  N00000449    65
304  N00000450    86
305  N00000451    76
306  N00000452    73
307  N00000453    71
308  N00000454    67
309  N00000455    90
310  N00000456    73
311  N00000457    84
312  N00000458    90
313  N00000459    79
314  N00000460    63
315  N00000461    64
316  N00000462    77
317  N00000463    73
318  N00000464    90
319  N00000465    95
320  N00000466    73
321  N00000467    84
322  N00000468    82
323  N00000469    85
324  N00000470    61
325  N00000471    64
326  N00000472    92
327  N00000473    69
328  N00000474    73
329  N00000475    77
330  N00000476    92
331  N00000477    68
332  N00000478    91
333  N00000479    86
334  N00000480    82
335  N00000481    90
336  N00000482    92
337  N00000483    77
338  N00000484    70
339  N00000485    82
340  N00000486    63
341  N00000487    72
342  N00000488    72
343  N00000489    53
344  N00000490    73
345  N00000491    57
346  N00000492    77
347  N00000493    85
348  N00000494    63
349  N00000495    74
350  N00000496    72
351  N00000497    91
352  N00000498    81
353  N00000499    67
354  N00000500    91
355  N00000501    92
356  N00000502    53
357  N00000503    79
358  N00000504    57
359  N00000505    81
360  N00000506    69
361  N00000507    87
362  N00000508    82
363  N00000509    65
364  N00000510    72
365  N00000511    67
366  N00000512    76
367  N00000513    68
368  N00000514    87
369  N00000515    86
370  N00000516    91
371  N00000517    83
372  N00000518    60
373  N00000519    58
374  N00000520    74
375  N00000521    81
376  N00000522    72
377  N00000523    74
378  N00000524    70
379  N00000525    77
380  N00000526    71
381  N00000527    86
382  N00000528    73
383  N00000529    73
384  N00000530    62
385  N00000531    86
386  N00000532    77
387  N00000533    78
388  N00000534    87
389  N00000535    77
390  N00000536    73
391  N00000537    64
392  N00000538    87
393  N00000539    88
394  N00000540    78
395  N00000541    73
396  N00000542    78
397  N00000543    57
398  N00000544    87
399  N00000545    81
400  N00000546    87
401  N00000547    68
402  N00000548    82
403  N00000549    86
404  N00000550    64
405  N00000551    83
406  N00000552    75
407  N00000553    86
408  N00000554    77
409  N00000555    63
410  N00000556    73
411  N00000557    50
412  N00000558    68
413  N00000559    78
414  N00000560    67
415  N00000561    62
416  N00000562   100
417  N00000563    61
418  N00000564    75
419  N00000565    77
420  N00000566    78
421  N00000567    61
422  N00000568    69
423  N00000569    69
424  N00000570    64
425  N00000571    57
426  N00000572    78
427  N00000573    57
428  N00000574    69
429  N00000575    77
430  N00000576    72
431  N00000577    60
432  N00000578    69
433  N00000579    65
434  N00000580    88
435  N00000581    57
436  N00000582    83
437  N00000583    77
438  N00000584    67
439  N00000585    77
440  N00000586    91
441  N00000587    95
442  N00000588    85
443  N00000589    74
444  N00000590    88
445  N00000591    74
446  N00000592    68
447  N00000593    73
448  N00000594    73
449  N00000595    74
450  N00000596    79
451  N00000597    73
452  N00000598    73
453  N00000599    81
454  N00000600    87
455  N00000601    63
456  N00000602    91
457  N00000603    74
458  N00000604    88
459  N00000605    82
460  N00000606    64
461  N00000607    52
462  N00000608    78
463  N00000609    82
464  N00000610    69
465  N00000611    73
466  N00000612    77
467  N00000613    78
468  N00000614    81
469  N00000615    77
470  N00000617    77
471  N00000618    91
472  N00000619    69
473  N00000620    55
474  N00000621    81
475  N00000622    88
476  N00000624    82
477  N00000625    91
478  N00000626    86
479  N00000627    81
480  N00000628    65
481  N00000629    83
482  N00000630    76
483  N00000631    78
484  N00000632    58
485  N00000633    82
486  N00000634    83
487  N00000635    76
488  N00000636    49
489  N00000639    77
490  N00000640    77
